Please provide hourly results in ug/m3 of PM 10 monitoring conducted in Dublin City in a tabular format by completing the table below. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please provide a flag number (see comment for list) for the data entered if possible. The comment field is optional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If any new stations have been added to the network please give details (scroll across). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please indicate if any of the stations listed below have been reomved from the network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dublin City Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Marino,,,Coleraine St.,,,Phoenix Park,,,Wood Quay (Winetavern St.),,,Rathmines,,,Ballyfermot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PM2.5(µg m-3),Flag,Comment ,PM2.5 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,PM10 (µg m-3),Flag,Comment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jan-11,56.0,1,,54.7,1,,48.2,1,,58.3,1,,68.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jan-11,41.2,1,,41.7,1,,37.1,1,,45.1,1,,40.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jan-11,27.2,1,,29.2,1,,16.5,1,,27.8,1,,32.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jan-11,15.7,1,,17.4,1,,14.7,1,,17.1,1,,17.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-11,8.3,1,,6.4,1,,10.6,1,,11.0,1,,15.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jan-11,4.2,1,,8.6,1,,11.7,1,,15.7,1,,20.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-11,4.4,1,,7.9,1,,13.2,1,,16.3,1,,15.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jan-11,10.6,1,,17.4,1,,17.2,1,,21.7,1,,21.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-11,12.5,1,,15.3,1,,17.4,1,,19.2,1,,22.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-11,28.5,1,,32.4,1,,29.2,1,,32.4,1,,36.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Jan-11,26.5,1,,33.6,1,,13.5,1,,34.0,1,,29.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Feb-11,9.2,1,,9.2,1,,14.3,1,,17.5,1,,16.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Feb-11,2.8,1,,2.9,1,,data missing,6,,9.3,1,,10.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Feb-11,3.3,1,,13.1,1,,data missing,6,,12.4,1,,10.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Feb-11,4.2,1,,11.2,1,,data missing,6,,12.2,1,,10.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Feb-11,7.6,1,,19.3,1,,data missing,6,,11.1,1,,12.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Feb-11,5.6,1,,13.4,1,,data missing,6,,10.4,1,,8.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Feb-11,6.0,1,,29.9,1,,data missing,6,,10.6,1,,10.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
